Year,Job_Title,Country,Company_Type,Experience_Level,Salary_USD,Remote,Top_Skill
2025,AI Engineer,UK,Startup,Senior,196665,No,Python
2024,AI Engineer,Germany,Big Tech,Mid,128638,Yes,TensorFlow
2025,AI Engineer,Germany,Freelance,Mid,112537,Yes,PyTorch
2023,Data Analyst,India,Freelance,Mid,37507,Yes,Python
2024,NLP Engineer,India,Startup,Senior,52554,Yes,SQL
2022,ML Engineer,USA,Big Tech,Entry,56702,No,TensorFlow
2025,NLP Engineer,India,Freelance,Entry,8800,No,NLP
2025,ML Engineer,India,Freelance,Senior,52286,No,Python
2024,Data Scientist,India,Startup,Entry,23001,Yes,SQL
2023,AI Engineer,India,Freelance,Entry,8233,Yes,SQL
2026,Data Scientist,UK,Big Tech,Senior,183137,No,PyTorch
2025,AI Engineer,India,Big Tech,Entry,20234,No,NLP
2022,Data Scientist,Canada,Freelance,Mid,117787,No,TensorFlow
2022,Data Analyst,USA,Big Tech,Mid,151395,No,TensorFlow
2023,ML Engineer,Canada,Startup,Entry,68221,No,SQL
2022,Data Analyst,Germany,Big Tech,Mid,93989,Yes,NLP
2026,ML Engineer,Germany,Freelance,Senior,170540,No,TensorFlow
2026,AI Engineer,UK,Freelance,Senior,139035,No,SQL
2024,NLP Engineer,UK,Freelance,Mid,82021,Yes,TensorFlow
2025,AI Engineer,Germany,Big Tech,Senior,193363,Yes,PyTorch
2022,NLP Engineer,Canada,Freelance,Entry,58589,Yes,PyTorch
2026,AI Engineer,India,Startup,Entry,11600,No,NLP
2025,ML Engineer,Germany,Freelance,Entry,27825,Yes,TensorFlow
2022,Data Scientist,India,Big Tech,Entry,12419,Yes,PyTorch
2022,ML Engineer,Canada,Big Tech,Senior,170333,No,PyTorch
2022,Data Scientist,Canada,Startup,Senior,205226,No,NLP
2023,Data Scientist,USA,Freelance,Senior,215085,No,TensorFlow
2023,Data Scientist,India,Freelance,Senior,49711,Yes,TensorFlow
2024,Data Analyst,Canada,Freelance,Senior,204923,Yes,TensorFlow
2025,AI Engineer,UK,Startup,Mid,82465,Yes,SQL
2022,NLP Engineer,Canada,Startup,Entry,50627,Yes,PyTorch
2024,NLP Engineer,Canada,Startup,Senior,146147,Yes,Python
2022,Data Analyst,India,Big Tech,Entry,22346,Yes,SQL
2022,AI Engineer,India,Freelance,Entry,21639,Yes,PyTorch
2022,NLP Engineer,Canada,Startup,Mid,128144,No,SQL
2026,ML Engineer,Germany,Freelance,Entry,47801,No,SQL
2022,NLP Engineer,India,Startup,Senior,54147,Yes,Python
2022,Data Scientist,Canada,Freelance,Mid,75788,Yes,Python
2024,ML Engineer,India,Big Tech,Mid,25312,Yes,Python
2024,AI Engineer,Germany,Big Tech,Senior,193365,Yes,Python
2023,ML Engineer,Germany,Big Tech,Mid,129328,Yes,TensorFlow
2024,ML Engineer,USA,Big Tech,Mid,101158,No,PyTorch
2025,ML Engineer,USA,Startup,Senior,169579,Yes,PyTorch
2026,Data Analyst,Canada,Freelance,Mid,115072,No,NLP
2022,ML Engineer,India,Big Tech,Entry,18781,Yes,TensorFlow
2024,Data Scientist,Canada,Freelance,Senior,188482,No,NLP
2026,NLP Engineer,USA,Big Tech,Senior,185456,No,SQL
2026,NLP Engineer,USA,Startup,Senior,228317,No,PyTorch
2023,Data Scientist,India,Big Tech,Entry,16674,Yes,NLP
2025,Data Analyst,UK,Startup,Mid,123762,No,Python
2025,Data Analyst,Germany,Startup,Mid,73398,No,Python
2026,NLP Engineer,USA,Startup,Senior,199308,Yes,PyTorch
2024,AI Engineer,USA,Startup,Mid,125723,No,TensorFlow
2025,Data Scientist,USA,Freelance,Entry,26185,No,NLP
2026,AI Engineer,USA,Startup,Entry,67952,No,Python
2024,NLP Engineer,UK,Startup,Entry,50322,Yes,TensorFlow
2022,Data Analyst,USA,Freelance,Senior,221783,No,PyTorch
2026,NLP Engineer,UK,Big Tech,Entry,60232,No,NLP
2025,NLP Engineer,UK,Freelance,Senior,190769,Yes,Python
2025,NLP Engineer,Canada,Big Tech,Senior,183897,Yes,TensorFlow
2025,AI Engineer,Germany,Big Tech,Entry,31960,No,NLP
2024,NLP Engineer,UK,Startup,Entry,42947,Yes,SQL
2026,NLP Engineer,Germany,Freelance,Entry,47392,No,NLP
2024,Data Analyst,USA,Freelance,Entry,28152,Yes,Python
2023,AI Engineer,UK,Big Tech,Senior,192509,Yes,TensorFlow
2023,NLP Engineer,USA,Big Tech,Mid,130490,Yes,NLP
2025,ML Engineer,Canada,Freelance,Mid,97758,No,TensorFlow
2026,Data Scientist,USA,Freelance,Mid,130869,No,SQL
2024,NLP Engineer,Canada,Freelance,Senior,192633,Yes,TensorFlow
2025,ML Engineer,USA,Startup,Entry,69777,Yes,PyTorch
2024,NLP Engineer,Germany,Startup,Entry,64099,Yes,TensorFlow
2025,ML Engineer,USA,Startup,Mid,82331,No,PyTorch
2026,NLP Engineer,Germany,Startup,Senior,147856,Yes,NLP
2022,NLP Engineer,UK,Big Tech,Senior,138627,No,SQL
2023,AI Engineer,Germany,Big Tech,Mid,120258,No,NLP
2022,Data Scientist,Germany,Big Tech,Entry,39576,No,PyTorch
2022,Data Analyst,Germany,Freelance,Senior,197697,No,NLP
2026,Data Analyst,India,Startup,Mid,32396,Yes,Python
2023,NLP Engineer,Canada,Startup,Senior,188520,Yes,PyTorch
2022,ML Engineer,Canada,Freelance,Senior,199554,Yes,SQL
2022,Data Analyst,Germany,Startup,Entry,27280,No,NLP
2022,NLP Engineer,UK,Big Tech,Mid,98520,No,PyTorch
2024,Data Scientist,India,Freelance,Entry,22020,Yes,NLP
2022,Data Scientist,Germany,Freelance,Entry,42893,No,NLP
2022,AI Engineer,India,Big Tech,Mid,36425,Yes,SQL
2025,NLP Engineer,Germany,Freelance,Entry,43486,No,Python
2026,NLP Engineer,UK,Startup,Entry,22361,No,NLP
2026,Data Scientist,Germany,Startup,Senior,161747,Yes,SQL
2023,ML Engineer,Canada,Big Tech,Entry,31637,Yes,NLP
2025,NLP Engineer,USA,Big Tech,Senior,164365,Yes,NLP
2025,AI Engineer,Germany,Startup,Senior,152554,Yes,SQL
2024,Data Analyst,India,Big Tech,Senior,63313,Yes,NLP
2026,AI Engineer,Germany,Big Tech,Entry,22347,Yes,PyTorch
2024,AI Engineer,UK,Freelance,Senior,166599,No,PyTorch
2024,AI Engineer,India,Freelance,Entry,12607,Yes,TensorFlow
2023,NLP Engineer,UK,Big Tech,Senior,137435,Yes,NLP
2022,NLP Engineer,Canada,Big Tech,Senior,140762,No,NLP
2026,Data Analyst,UK,Big Tech,Mid,130263,No,SQL
2025,NLP Engineer,Canada,Startup,Mid,106846,Yes,NLP
2023,NLP Engineer,UK,Big Tech,Entry,34914,Yes,PyTorch
2024,Data Scientist,UK,Big Tech,Entry,26530,Yes,Python
2023,NLP Engineer,Germany,Big Tech,Mid,129550,Yes,TensorFlow
2022,NLP Engineer,Germany,Freelance,Mid,105241,Yes,PyTorch
2025,AI Engineer,Canada,Freelance,Entry,61938,Yes,NLP
2025,AI Engineer,Germany,Big Tech,Mid,66475,Yes,PyTorch
2023,ML Engineer,USA,Freelance,Senior,168799,Yes,SQL
2024,NLP Engineer,USA,Freelance,Entry,61323,Yes,PyTorch
2025,Data Analyst,UK,Freelance,Entry,51620,Yes,SQL
2026,NLP Engineer,UK,Startup,Senior,196216,Yes,Python
2023,AI Engineer,UK,Freelance,Mid,106629,Yes,TensorFlow
2022,ML Engineer,India,Freelance,Mid,28471,No,NLP
2023,NLP Engineer,UK,Freelance,Senior,144090,No,PyTorch
2026,NLP Engineer,USA,Startup,Mid,89263,Yes,SQL
2026,NLP Engineer,India,Startup,Senior,60474,Yes,NLP
2026,Data Scientist,USA,Big Tech,Senior,207413,Yes,PyTorch
2026,Data Analyst,Germany,Startup,Senior,148542,No,PyTorch
2024,NLP Engineer,Canada,Startup,Mid,88182,Yes,Python
2024,NLP Engineer,Canada,Big Tech,Mid,69411,Yes,NLP
2026,Data Scientist,Canada,Startup,Mid,120833,No,PyTorch
2024,Data Scientist,UK,Big Tech,Senior,150836,No,NLP
2024,NLP Engineer,Germany,Freelance,Mid,95789,No,SQL
2024,NLP Engineer,Canada,Big Tech,Mid,112534,No,SQL
2022,ML Engineer,India,Freelance,Entry,10628,No,TensorFlow
2026,NLP Engineer,USA,Startup,Mid,146529,Yes,PyTorch
2026,Data Analyst,USA,Startup,Mid,109593,Yes,PyTorch
2025,NLP Engineer,Canada,Big Tech,Senior,196303,Yes,PyTorch
2025,Data Scientist,UK,Freelance,Senior,134422,Yes,NLP
2023,Data Scientist,Germany,Startup,Senior,138260,No,PyTorch
2024,Data Analyst,India,Freelance,Entry,21572,Yes,Python
2026,AI Engineer,Canada,Freelance,Mid,130461,Yes,NLP
2023,Data Analyst,India,Freelance,Entry,14844,Yes,NLP
2022,NLP Engineer,Germany,Big Tech,Entry,59001,No,PyTorch
2025,NLP Engineer,India,Startup,Mid,41867,Yes,PyTorch
2022,AI Engineer,USA,Big Tech,Senior,215737,Yes,TensorFlow
2025,AI Engineer,Canada,Freelance,Entry,42846,Yes,PyTorch
2024,Data Scientist,Canada,Startup,Mid,95644,No,SQL
2023,Data Analyst,UK,Startup,Senior,151132,Yes,SQL
2023,ML Engineer,Canada,Big Tech,Entry,31039,No,NLP
2022,NLP Engineer,USA,Big Tech,Mid,119945,No,PyTorch
2023,NLP Engineer,Germany,Big Tech,Entry,63571,No,PyTorch
2026,Data Scientist,Canada,Big Tech,Mid,103456,No,TensorFlow
2022,Data Scientist,UK,Big Tech,Senior,158066,No,SQL
2026,AI Engineer,UK,Big Tech,Mid,92379,No,PyTorch
2023,Data Analyst,Germany,Big Tech,Mid,98491,Yes,NLP
2023,Data Scientist,Germany,Startup,Senior,159457,Yes,SQL
2023,Data Analyst,USA,Startup,Mid,89455,No,PyTorch
2024,AI Engineer,Canada,Freelance,Entry,53025,Yes,Python
2023,AI Engineer,India,Freelance,Entry,19792,No,TensorFlow
2024,NLP Engineer,Canada,Big Tech,Mid,100032,No,NLP
2023,NLP Engineer,Canada,Freelance,Senior,196808,No,TensorFlow
2024,NLP Engineer,India,Freelance,Mid,33989,No,PyTorch
2023,ML Engineer,Germany,Big Tech,Senior,193196,Yes,Python
2023,AI Engineer,UK,Big Tech,Mid,117213,No,TensorFlow
2025,AI Engineer,Canada,Freelance,Mid,81609,Yes,SQL
2023,AI Engineer,USA,Startup,Entry,59826,Yes,PyTorch
2026,Data Scientist,USA,Big Tech,Senior,178360,Yes,Python
2025,AI Engineer,UK,Startup,Senior,177162,Yes,SQL
2026,ML Engineer,USA,Startup,Senior,233977,No,PyTorch
2025,NLP Engineer,Germany,Freelance,Mid,116290,Yes,NLP
2026,Data Analyst,Canada,Big Tech,Senior,206502,No,PyTorch
2026,ML Engineer,USA,Big Tech,Mid,113118,Yes,TensorFlow
2022,Data Scientist,Canada,Startup,Mid,104361,Yes,PyTorch
2025,AI Engineer,USA,Big Tech,Mid,97697,Yes,NLP
2024,ML Engineer,India,Freelance,Mid,30550,No,PyTorch
2023,AI Engineer,USA,Big Tech,Senior,221135,No,TensorFlow
2026,AI Engineer,India,Startup,Entry,12781,Yes,PyTorch
2026,Data Analyst,Germany,Freelance,Senior,155114,Yes,SQL
2022,NLP Engineer,USA,Startup,Entry,50034,No,Python
2023,Data Scientist,UK,Startup,Mid,90647,No,PyTorch
2024,Data Analyst,USA,Big Tech,Entry,38446,No,Python
2026,Data Analyst,UK,Startup,Mid,125708,Yes,SQL
2025,Data Analyst,UK,Freelance,Entry,36358,Yes,NLP
2023,Data Analyst,India,Freelance,Mid,28157,Yes,NLP
2026,Data Scientist,Germany,Big Tech,Senior,157982,Yes,SQL
2022,ML Engineer,India,Big Tech,Entry,12387,Yes,PyTorch
2023,Data Scientist,USA,Freelance,Senior,206794,Yes,TensorFlow
2022,ML Engineer,UK,Big Tech,Entry,46395,Yes,Python
2024,ML Engineer,Canada,Startup,Entry,59766,No,PyTorch
2023,Data Scientist,India,Big Tech,Senior,71557,Yes,PyTorch
2025,NLP Engineer,Germany,Freelance,Senior,172852,Yes,NLP
2024,AI Engineer,India,Big Tech,Senior,49805,Yes,PyTorch
2024,AI Engineer,Canada,Big Tech,Mid,127477,No,SQL
2022,NLP Engineer,Germany,Freelance,Entry,45118,No,SQL
2026,Data Analyst,Canada,Startup,Senior,168884,No,Python
2022,NLP Engineer,USA,Startup,Entry,41219,Yes,Python
2025,ML Engineer,USA,Startup,Senior,197737,No,Python
2024,ML Engineer,Canada,Freelance,Entry,23985,No,Python
2025,Data Scientist,Germany,Freelance,Senior,158605,Yes,NLP
2024,NLP Engineer,USA,Freelance,Entry,51890,Yes,Python
2023,NLP Engineer,India,Startup,Entry,21793,Yes,NLP
2026,Data Analyst,USA,Freelance,Senior,195080,No,Python
2023,ML Engineer,Canada,Big Tech,Senior,149920,No,TensorFlow
2024,NLP Engineer,Germany,Big Tech,Mid,125556,No,NLP
2023,NLP Engineer,Canada,Startup,Mid,125115,No,PyTorch
2025,Data Analyst,USA,Freelance,Entry,50235,Yes,TensorFlow
2022,AI Engineer,UK,Startup,Mid,121618,No,NLP
2026,NLP Engineer,Canada,Freelance,Entry,30105,No,SQL
2023,AI Engineer,Germany,Freelance,Entry,38795,No,Python
2026,Data Analyst,Canada,Startup,Senior,162470,No,SQL
2025,NLP Engineer,USA,Freelance,Senior,218260,No,Python
2022,AI Engineer,Germany,Big Tech,Mid,128702,Yes,NLP
2022,Data Analyst,USA,Big Tech,Senior,201999,Yes,TensorFlow
2026,ML Engineer,UK,Startup,Senior,186271,Yes,SQL
2025,AI Engineer,India,Startup,Entry,16812,Yes,NLP
2025,AI Engineer,USA,Big Tech,Senior,215455,Yes,SQL
2025,NLP Engineer,UK,Big Tech,Mid,80136,Yes,SQL
2022,AI Engineer,India,Big Tech,Senior,50949,No,PyTorch
2024,AI Engineer,UK,Big Tech,Mid,113247,No,SQL
2024,NLP Engineer,India,Freelance,Entry,19546,Yes,SQL
2024,ML Engineer,USA,Startup,Senior,208907,Yes,TensorFlow
2022,AI Engineer,USA,Big Tech,Mid,79937,Yes,NLP
2023,ML Engineer,Canada,Freelance,Mid,105403,Yes,Python
2025,NLP Engineer,Canada,Startup,Mid,73529,Yes,NLP
2024,Data Scientist,India,Freelance,Entry,9745,No,TensorFlow
2022,Data Scientist,Germany,Freelance,Mid,93443,Yes,TensorFlow
2025,NLP Engineer,Canada,Startup,Entry,37987,Yes,Python
2023,NLP Engineer,Germany,Big Tech,Mid,119662,Yes,TensorFlow
2024,AI Engineer,Germany,Startup,Senior,136469,No,PyTorch
2022,NLP Engineer,Germany,Startup,Entry,46638,Yes,Python
2025,NLP Engineer,Canada,Freelance,Senior,156114,Yes,PyTorch
2024,NLP Engineer,Germany,Big Tech,Senior,179036,Yes,NLP
2026,ML Engineer,UK,Big Tech,Senior,141749,No,SQL
2026,ML Engineer,Germany,Startup,Senior,140533,Yes,TensorFlow
2023,Data Scientist,Germany,Big Tech,Mid,97935,No,SQL
2023,Data Scientist,UK,Startup,Entry,41237,Yes,NLP
2023,ML Engineer,USA,Big Tech,Entry,66604,No,TensorFlow
2023,Data Analyst,India,Big Tech,Entry,12293,Yes,PyTorch
2022,AI Engineer,India,Startup,Senior,53362,Yes,SQL
2025,NLP Engineer,India,Freelance,Mid,47267,No,PyTorch
2022,NLP Engineer,India,Freelance,Mid,40030,Yes,NLP
2022,Data Analyst,India,Startup,Entry,21597,Yes,NLP
2025,NLP Engineer,USA,Startup,Mid,111910,No,TensorFlow
2025,ML Engineer,India,Big Tech,Senior,61552,Yes,PyTorch
2025,Data Scientist,Canada,Startup,Entry,67122,Yes,PyTorch
2025,AI Engineer,India,Startup,Entry,19892,Yes,PyTorch
2022,AI Engineer,Germany,Freelance,Senior,184860,Yes,Python
2022,Data Analyst,Germany,Startup,Senior,189027,Yes,PyTorch
2026,Data Analyst,USA,Startup,Mid,152231,Yes,SQL
2023,ML Engineer,USA,Big Tech,Mid,140206,No,TensorFlow
2023,Data Scientist,UK,Startup,Entry,40245,No,PyTorch
2026,Data Scientist,Canada,Big Tech,Entry,39344,No,PyTorch
2025,Data Analyst,USA,Freelance,Senior,231156,No,NLP
2026,ML Engineer,USA,Startup,Entry,30690,Yes,SQL
2022,NLP Engineer,Canada,Big Tech,Mid,72694,No,SQL
2023,AI Engineer,Canada,Freelance,Senior,197335,Yes,PyTorch
2026,AI Engineer,USA,Startup,Mid,109400,No,Python
2025,NLP Engineer,USA,Big Tech,Mid,88394,No,TensorFlow
2026,Data Analyst,Canada,Startup,Senior,142384,Yes,NLP
2026,Data Scientist,India,Freelance,Senior,66528,No,PyTorch
2026,AI Engineer,Germany,Freelance,Senior,176283,No,NLP
2025,Data Analyst,UK,Freelance,Entry,42940,Yes,Python
2025,Data Scientist,UK,Freelance,Mid,69279,No,NLP
2023,Data Scientist,UK,Freelance,Mid,122964,No,TensorFlow
2026,NLP Engineer,Germany,Startup,Entry,46026,Yes,SQL
2023,AI Engineer,Germany,Freelance,Mid,123472,Yes,PyTorch
2023,Data Analyst,Canada,Big Tech,Mid,124965,No,NLP
2024,NLP Engineer,Canada,Startup,Entry,66516,No,Python
2023,AI Engineer,USA,Big Tech,Mid,149769,No,SQL
2026,Data Scientist,Germany,Freelance,Mid,85571,Yes,PyTorch
2023,AI Engineer,India,Big Tech,Entry,21764,Yes,TensorFlow
2022,ML Engineer,USA,Big Tech,Senior,197120,Yes,SQL
2024,Data Analyst,Canada,Big Tech,Mid,126992,Yes,NLP
2023,ML Engineer,USA,Big Tech,Mid,87868,No,Python
2026,Data Scientist,Germany,Big Tech,Entry,29431,No,Python
2026,AI Engineer,UK,Big Tech,Entry,35879,No,PyTorch
2022,AI Engineer,UK,Startup,Mid,67098,Yes,SQL
2026,AI Engineer,Canada,Big Tech,Mid,122083,No,NLP
2023,ML Engineer,USA,Big Tech,Senior,193796,Yes,SQL
2022,Data Analyst,USA,Startup,Mid,85335,No,SQL
2026,NLP Engineer,India,Freelance,Mid,32711,Yes,NLP
2022,Data Analyst,Canada,Startup,Entry,58291,No,PyTorch
2025,ML Engineer,UK,Startup,Senior,158200,No,SQL
2024,AI Engineer,India,Big Tech,Entry,9713,No,PyTorch
2025,ML Engineer,Germany,Big Tech,Senior,168616,Yes,PyTorch
2022,AI Engineer,Canada,Freelance,Entry,45768,No,NLP
2025,ML Engineer,Canada,Startup,Senior,166925,Yes,TensorFlow
2023,NLP Engineer,India,Big Tech,Senior,66196,Yes,SQL
2022,NLP Engineer,India,Startup,Senior,56529,Yes,PyTorch
2023,AI Engineer,India,Startup,Senior,69340,No,TensorFlow
2025,Data Scientist,USA,Startup,Entry,75479,Yes,SQL
2023,Data Analyst,Canada,Big Tech,Mid,102700,Yes,TensorFlow
2024,NLP Engineer,Germany,Big Tech,Senior,174007,Yes,NLP
2026,Data Analyst,UK,Big Tech,Entry,48616,Yes,Python
2026,AI Engineer,USA,Big Tech,Entry,46040,No,TensorFlow
2025,Data Analyst,India,Big Tech,Senior,52545,No,SQL
2023,NLP Engineer,India,Big Tech,Mid,31562,Yes,SQL
2022,Data Scientist,USA,Startup,Senior,193207,Yes,Python
2023,Data Analyst,India,Freelance,Senior,52713,No,NLP
2025,NLP Engineer,India,Big Tech,Mid,28870,Yes,NLP
2025,ML Engineer,Canada,Big Tech,Mid,112436,Yes,Python
2026,Data Analyst,Germany,Startup,Senior,137771,Yes,NLP
2024,Data Analyst,Canada,Startup,Senior,156481,No,Python
2026,NLP Engineer,Germany,Freelance,Entry,46765,Yes,PyTorch
2025,NLP Engineer,India,Freelance,Senior,57251,No,TensorFlow
2023,Data Scientist,Canada,Freelance,Mid,88628,No,NLP
2023,NLP Engineer,USA,Freelance,Mid,102434,Yes,SQL
2026,Data Scientist,Germany,Big Tech,Entry,42254,No,Python
2022,NLP Engineer,UK,Freelance,Senior,164198,No,SQL
2024,ML Engineer,India,Startup,Senior,50212,Yes,NLP
2023,Data Analyst,India,Big Tech,Entry,19538,Yes,SQL
2026,AI Engineer,USA,Freelance,Mid,82474,No,PyTorch
2025,AI Engineer,India,Freelance,Senior,65917,No,PyTorch
2024,ML Engineer,Canada,Big Tech,Entry,44764,No,TensorFlow
2026,Data Scientist,USA,Freelance,Senior,192786,No,TensorFlow
2024,AI Engineer,USA,Big Tech,Senior,195284,Yes,NLP
2023,NLP Engineer,Germany,Freelance,Senior,171476,Yes,Python
2022,Data Scientist,India,Startup,Senior,59690,No,SQL
2024,AI Engineer,UK,Startup,Entry,28627,Yes,NLP
2022,Data Scientist,USA,Freelance,Entry,58029,Yes,Python
2023,AI Engineer,Germany,Big Tech,Senior,164687,No,PyTorch
2024,AI Engineer,UK,Startup,Mid,93595,No,Python
2024,AI Engineer,UK,Big Tech,Entry,57447,No,SQL
2025,Data Scientist,UK,Freelance,Mid,110259,Yes,PyTorch
2024,Data Scientist,USA,Startup,Entry,74675,No,Python
2025,ML Engineer,USA,Startup,Senior,168915,No,PyTorch
2026,Data Scientist,Canada,Freelance,Mid,101863,Yes,NLP
2023,Data Scientist,India,Freelance,Mid,38869,No,TensorFlow
2024,Data Analyst,USA,Freelance,Senior,201548,No,Python
2025,AI Engineer,UK,Startup,Senior,179631,Yes,TensorFlow
2025,Data Scientist,Germany,Big Tech,Entry,53573,Yes,Python
2023,Data Scientist,Canada,Startup,Mid,73747,No,PyTorch
2026,Data Analyst,USA,Startup,Mid,106771,Yes,PyTorch
2022,ML Engineer,Canada,Big Tech,Senior,193849,Yes,Python
2022,ML Engineer,India,Freelance,Entry,20352,Yes,SQL
2023,Data Scientist,UK,Freelance,Entry,44155,Yes,PyTorch
2026,ML Engineer,Canada,Startup,Entry,31604,Yes,Python
2023,Data Analyst,Germany,Freelance,Senior,140707,Yes,TensorFlow
2023,Data Scientist,Canada,Startup,Mid,78099,Yes,PyTorch
2023,AI Engineer,Canada,Startup,Mid,112862,Yes,Python
2026,Data Analyst,UK,Startup,Mid,66457,Yes,Python
2026,AI Engineer,India,Freelance,Mid,29404,No,NLP
2025,Data Analyst,UK,Startup,Senior,144975,No,NLP
2022,AI Engineer,Germany,Big Tech,Entry,62205,Yes,NLP
2022,NLP Engineer,Germany,Freelance,Senior,187532,Yes,TensorFlow
2022,ML Engineer,USA,Startup,Senior,171021,Yes,Python
2022,AI Engineer,Germany,Startup,Mid,90098,No,Python
2022,Data Scientist,Canada,Startup,Entry,25189,Yes,Python
2023,Data Analyst,Canada,Freelance,Mid,83978,No,SQL
2022,AI Engineer,UK,Startup,Entry,51742,No,SQL
2022,Data Analyst,Canada,Big Tech,Entry,55848,No,SQL
2025,AI Engineer,UK,Big Tech,Senior,157850,No,SQL
2024,ML Engineer,USA,Freelance,Senior,167628,Yes,PyTorch
2025,Data Analyst,UK,Big Tech,Entry,43277,Yes,NLP
2026,ML Engineer,USA,Big Tech,Senior,174439,No,PyTorch
2024,Data Scientist,India,Freelance,Entry,14496,Yes,NLP
2023,NLP Engineer,USA,Big Tech,Entry,29412,Yes,PyTorch
2026,Data Analyst,India,Freelance,Entry,19860,Yes,NLP
2022,Data Analyst,UK,Startup,Mid,83233,Yes,Python
2025,AI Engineer,UK,Freelance,Mid,119871,Yes,PyTorch
2025,ML Engineer,India,Startup,Mid,42452,Yes,Python
2025,AI Engineer,Canada,Startup,Mid,125742,Yes,Python
2026,AI Engineer,USA,Freelance,Senior,160392,Yes,PyTorch
2024,Data Analyst,Canada,Startup,Mid,82208,Yes,NLP
2023,ML Engineer,Germany,Startup,Senior,166493,Yes,SQL
2024,AI Engineer,Germany,Freelance,Senior,135925,Yes,TensorFlow
2024,Data Analyst,India,Freelance,Senior,66607,No,PyTorch
2026,AI Engineer,USA,Startup,Mid,84830,Yes,TensorFlow
2022,Data Scientist,UK,Big Tech,Entry,32665,Yes,NLP
2022,AI Engineer,India,Freelance,Senior,57088,No,PyTorch
2022,AI Engineer,UK,Startup,Entry,38747,No,PyTorch
2026,AI Engineer,Germany,Big Tech,Senior,171538,No,PyTorch
2024,NLP Engineer,UK,Big Tech,Entry,40742,No,TensorFlow
2022,ML Engineer,Germany,Big Tech,Mid,110596,No,SQL
2023,ML Engineer,UK,Startup,Entry,24965,Yes,PyTorch
2024,AI Engineer,UK,Startup,Senior,154848,No,SQL
2024,Data Analyst,Canada,Startup,Senior,139877,No,PyTorch
2023,Data Analyst,Germany,Startup,Entry,61371,No,PyTorch
2024,NLP Engineer,UK,Freelance,Senior,181679,Yes,PyTorch
2022,ML Engineer,Canada,Startup,Mid,99269,Yes,PyTorch
2024,Data Scientist,Germany,Startup,Senior,169950,Yes,TensorFlow
2023,Data Scientist,USA,Freelance,Mid,121602,Yes,PyTorch
2024,NLP Engineer,Canada,Freelance,Entry,50211,No,TensorFlow
2025,AI Engineer,USA,Big Tech,Mid,104247,Yes,SQL
2025,Data Analyst,India,Big Tech,Entry,19110,No,SQL
2026,NLP Engineer,USA,Startup,Entry,51833,No,Python
2026,Data Analyst,USA,Startup,Mid,113314,No,NLP
2023,ML Engineer,UK,Big Tech,Mid,101366,No,NLP
2024,Data Analyst,Canada,Freelance,Mid,71021,Yes,SQL
2024,AI Engineer,India,Startup,Senior,52702,No,SQL
2022,Data Scientist,Germany,Big Tech,Entry,65172,No,NLP
2025,AI Engineer,India,Freelance,Entry,17783,Yes,TensorFlow
2023,NLP Engineer,USA,Startup,Mid,152829,Yes,TensorFlow
2023,Data Scientist,Germany,Big Tech,Mid,69511,No,NLP
2022,NLP Engineer,UK,Freelance,Entry,28812,Yes,NLP
2024,AI Engineer,Germany,Big Tech,Senior,170525,No,SQL
2022,ML Engineer,Canada,Big Tech,Mid,100049,Yes,Python
2023,ML Engineer,Canada,Startup,Entry,65103,Yes,PyTorch
2025,Data Scientist,USA,Startup,Entry,66852,No,SQL
2025,NLP Engineer,Canada,Big Tech,Entry,45962,Yes,SQL
2023,ML Engineer,UK,Big Tech,Entry,37127,No,Python
2022,Data Scientist,India,Big Tech,Entry,13147,Yes,PyTorch
2022,AI Engineer,USA,Startup,Mid,142285,Yes,NLP
2023,NLP Engineer,UK,Startup,Senior,138543,Yes,TensorFlow
2026,AI Engineer,Germany,Startup,Senior,173107,Yes,Python
2026,Data Scientist,Canada,Startup,Senior,150945,Yes,Python
2023,NLP Engineer,India,Big Tech,Senior,59525,Yes,SQL
2024,Data Analyst,India,Startup,Senior,50958,No,Python
2025,Data Scientist,Canada,Startup,Mid,122112,Yes,Python
2024,Data Analyst,USA,Big Tech,Mid,129151,No,PyTorch
2023,NLP Engineer,India,Big Tech,Mid,46459,No,TensorFlow
2023,Data Scientist,India,Freelance,Entry,18390,Yes,Python
2023,Data Analyst,India,Freelance,Senior,71394,Yes,Python
2024,ML Engineer,Germany,Startup,Senior,148787,No,PyTorch
2024,NLP Engineer,Canada,Big Tech,Senior,173860,No,PyTorch
2026,AI Engineer,UK,Big Tech,Entry,30807,No,SQL
2023,Data Scientist,USA,Freelance,Entry,31812,Yes,SQL
2025,NLP Engineer,Germany,Startup,Mid,120799,No,PyTorch
2023,AI Engineer,India,Big Tech,Senior,57007,Yes,Python
2025,Data Scientist,India,Big Tech,Mid,35601,Yes,Python
2023,NLP Engineer,Germany,Freelance,Entry,57429,No,PyTorch
2025,Data Scientist,Canada,Freelance,Mid,120653,No,PyTorch
2026,ML Engineer,Canada,Startup,Mid,106282,No,NLP
2024,AI Engineer,Germany,Startup,Entry,64565,No,TensorFlow
2026,Data Scientist,Germany,Big Tech,Entry,52864,No,TensorFlow
2022,ML Engineer,UK,Startup,Senior,138122,Yes,TensorFlow
2022,AI Engineer,UK,Startup,Senior,165226,No,NLP
2026,Data Analyst,Germany,Startup,Senior,133602,No,PyTorch
